Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
OXA-100	ARO:3001438	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-100 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-101	ARO:3001439	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-101 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-10-like	narrowspectrum	A
OXA-103	ARO:3001707	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-103 is a beta-lactamase found in A. spp.	D	OXA-23-like	Carbapenemase	N (Acinetobacterradioresistens)
OXA-104	ARO:3001636	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-104 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-106	ARO:3001637	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-106 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-107	ARO:3001638	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-107 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-108	ARO:3001639	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-108 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-109	ARO:3001640	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-109 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-11	ARO:3001406	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-11 is a beta-lactamase found in P. aeruginosa.	D	OXA-10-like	ESBL	A
OXA-110	ARO:3001641	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-110 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-111	ARO:3001642	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-111 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-112	ARO:3001643	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-112 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-113	ARO:3001644	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-113 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-114a	ARO:3001609	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-114a is a beta-lactamase found in Achromobacter xylosoxidans.	D	OXA-114a-like		N (Achromobacterxylosoxidans)
OXA-115	ARO:3001440	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-115 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-116	ARO:3001441	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-116 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D			
OXA-117	ARO:3001442	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-117 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-118	ARO:3001768	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-118 is a beta-lactamase found in Burkholderia cepacia	D	OXA-46-like		A
OXA-119	ARO:3001775	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-119 is a beta-lactamase found in Enterobacteriaceae	D	OXA-46-like		A
OXA-12	ARO:3001407	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-12 is a beta-lactamase found in Aeromonas jandaei	D	OXA-12-like		N (Aeromonassobria)
OXA-120	ARO:3001672	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-120 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-121	ARO:3001443	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-121 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-122	ARO:3001444	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-122 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-123	ARO:3001445	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-123 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-124	ARO:3001446	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-124 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-125	ARO:3001447	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-125 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-126	ARO:3001448	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-126 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-127	ARO:3001449	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-127 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-128	ARO:3001648	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-128 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-129	ARO:3001811	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-129 is a beta-lactamase found in Salmonella enterica	D	OXA-5-like		A
OXA-13	ARO:3001408	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-13 is a beta-lactamase found in P. aeruginosa.	D	OXA-10-like		A
OXA-130	ARO:3001651	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-130 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-131	ARO:3001652	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-131 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-132	ARO:3001653	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-132 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-133	ARO:3001702	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-133 is a beta-lactamase found in A. radioresistens	D	OXA-23-like	Carbapenemase	N (Acinetobacterradioresistens)
OXA-134	ARO:3001695	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-134 is a beta-lactamase found in A. lwoffii	D	OXA-134-like	Carbapenemase	N (Acinetobacterlwoffii)
OXA-136	ARO:3001765	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-136 is a beta-lactamase found in Brachyspira spp.	D	OXA-63-like		N (Brachyspirapilosicoli)
OXA-137	ARO:3001767	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-137 is a beta-lactamase found in Brachyspira spp.	D	OXA-63-like		N (Brachyspirapilosicoli)
OXA-138	ARO:3001655	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-138 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacternosocomialis)
OXA-139	ARO:3001451	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-139 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-24-like	Carbapenemase	A
OXA-14	ARO:3001409	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-14 is a beta-lactamase found in P. aeruginosa.	D	OXA-10-like	ESBL	A
OXA-140	ARO:3001452	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-140 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D			
OXA-141	ARO:3001802	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-141 is a beta-lactamase found in P. aeruginosa	D	OXA-2-like	ESBL	A
OXA-142	ARO:3001803	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-142 is a beta-lactamase found in P. aeruginosa	D	OXA-10-like	ESBL	A
OXA-143	ARO:3001654	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-143 is a beta-lactamase found in A. baumannii	D	OXA-143-like	Carbapenemase	A
OXA-144	ARO:3002480	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-144 is a beta-lactamase found in P. aeruginosa	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-145	ARO:3001804	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-145 is a beta-lactamase found in P. aeruginosa	D	OXA-10-like	ESBL	A
OXA-146	ARO:3001779	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-146 is a beta-lactamase found in Enterobacteriaceae	D	OXA-23-like	Carbapenemase	A
OXA-147	ARO:3001801	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-147 is a beta-lactamase found in P. aeruginosa	D	OXA-10-like	ESBL	A
OXA-148	ARO:3001453	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-148 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-149	ARO:3001454	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-149 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-15	ARO:3001410	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-15 is a beta-lactamase found in P. aeruginosa.	D	OXA-2-like	ESBL	A
OXA-150	ARO:3001455	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-150 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-151	ARO:3001456	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-151 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-62-like	Carbapenemase	N (Pandoraeapnomenusa)
OXA-152	ARO:3001457	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-152 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-62-like	Carbapenemase	N (Pandoraeapnomenusa)
OXA-153	ARO:3001458	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-153 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-153-like	Carbapenemase	N (Pandoraeaapista)
OXA-154	ARO:3001459	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-154 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-154-like	Carbapenemase	N (Pandoraeasputorum)
OXA-155	ARO:3001460	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-155 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-154-like	Carbapenemase	N (Pandoraeasputorum)
OXA-156	ARO:3001461	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-156 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-156-like	Carbapenemase	N (Pandoraeapulmonicola)
OXA-157	ARO:3001462	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-157 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D		Carbapenemase	N (Pandoraeanorimbergensis)
OXA-158	ARO:3001463	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-158 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-156-like	Carbapenemase	N (Pandoraeasp.Va8523)
OXA-16	ARO:3001411	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-16 is a beta-lactamase found in P. aeruginosa.				
OXA-160	ARO:3001663	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-160 is a beta-lactamase found in A. baumannii	D	OXA-24-like	Carbapenemase	A
OXA-161	ARO:3001799	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-161 is a beta-lactamase found in P. aeruginosa	D	OXA-2-like	ESBL	A
OXA-162	ARO:3001776	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-162 is a beta-lactamase found in Enterobacteriaceae	D	OXA-48-like	Carbapenemase	A
OXA-163	ARO:3001783	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-163 is a beta-lactamase found in Klebsiella pneumoniae	D	OXA-48-like	ESBL	A
OXA-164	ARO:3001662	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-164 is a beta-lactamase found in A. baumannii	D	OXA-58-like	Carbapenemase	A
OXA-165	ARO:3001465	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-165 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-166	ARO:3001466	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-166 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-167	ARO:3001467	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-167 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-168	ARO:3001468	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-168 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-169	ARO:3001469	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-169 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-17	ARO:3001412	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-17 is a beta-lactamase found in P. aeruginosa and Klebsiella pneumoniae.	D	OXA-10-like	ESBL	A
OXA-170	ARO:3001470	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-170 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-171	ARO:3001471	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-171 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-23-like	Carbapenemase	A
OXA-172	ARO:3001656	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-172 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-173	ARO:3001657	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-173 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-174	ARO:3001658	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-174 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-175	ARO:3001659	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-175 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-176	ARO:3001660	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-176 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-177	ARO:3001661	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-177 is a beta-lactamase found in A. baumannii	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-178	ARO:3001472	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-178 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-179	ARO:3001473	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-179 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-18	ARO:3001413	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-18 is a beta-lactamase found in P. aeruginosa and Rickettsia.	D		ESBL	A
OXA-180	ARO:3001474	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-180 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacterbaumannii)
OXA-181	ARO:3001784	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-181 is a beta-lactamase found in Klebsiella pneumoniae	D	OXA-48-like	Carbapenemase	A
OXA-182	ARO:3001709	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-182 is a beta-lactamase found in A. spp.	D	OXA-143-like	Carbapenemase	A
OXA-183	ARO:3001475	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-183 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-10-like	ESBL	A
OXA-184	ARO:3001476	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-184 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-184-like		N (Campylobacterjejuni)
OXA-185	ARO:3001477	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-185 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-184-like		N (Campylobacterjejuni)
OXA-19	ARO:3001414	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-19 is a beta-lactamase found in P. aeruginosa.	D	OXA-10-like	ESBL	A
OXA-192	ARO:3001766	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-192 is a beta-lactamase found in Brachyspira spp.	D	OXA-63-like		N (Brachyspirapilosicoli)
OXA-194	ARO:3001479	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-194 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacternosocomialis)
OXA-195	ARO:3001480	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-195 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacternosocomialis)
OXA-196	ARO:3001481	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-196 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacternosocomialis)
OXA-197	ARO:3001482	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-197 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	D	OXA-51-like	Carbapenemase	N (Acinetobacternosocomialis)
OXA-198	ARO:3001805	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-198 is a beta-lactamase found in P. aeruginosa	D	OXA-198-like		A
OXA-199	ARO:3001814	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-199 is a beta-lactamase found in Shewanella spp.	D	OXA-48-like	Carbapenemase	A
